Rank,School,Name,Adjusted Rating,Deviation,Matches,Rating,Hash,Aff Win Rate,Neg Win Rate,Aff Elim Win Rate,Neg Elim Win Rate
1,Emory,Gallagher & Young,1911.8298687786585,116.73490855168014,13,2145.299685882019,cb534e768c9b2946eca1e5f56e3b04e893e4194ee809095e1c188868222315a3,85.71,100.0,100.0,100.0
2,Michigan,Esmailzadeh & Shah,1867.0638588588085,124.86402074166405,11,2116.7919003421366,b5d3bc36bb49790dfeaacc1e5ad0f5ab9e7eb460e5d8d1166f046cff8aa7cd0e,100.0,80.0,100.0,100.0
3,Michigan,Chamarthy & Shetty,1805.8656999636582,132.19200525653963,10,2070.2497104767376,a3d290ea51b54b61072e38904a551fb6e1535737548bc843bcf3faa4297573d3,80.0,100.0,100.0,100.0
4,UC Berkeley,Boguslavsky & Modi,1782.8966437596125,114.14706736134431,12,2011.190778482301,84862167383c5927df26898871acaba203d48064fbed0337d4f9740a1ba9da33,66.67,83.33,50.0,100.0
5,Michigan,Barrett & Song,1760.3623061869266,129.97649885858985,10,2020.3153039041063,c3787a1ca67069fcbb3cddbd8714153034713e608481f20254215991c8f47f19,80.0,80.0,100.0,0.0
6,Emory,Stumpff & Yang,1748.0619055508378,125.24585096187727,11,1998.5536074745924,94d0dd7b84da379b972397a7c7787cce590dfb2f6d1a900274dde63978c60f88,66.67,100.0,50.0,100.0
7,Kansas,Owings & Ulven,1733.3368407496973,132.06528778911928,9,1997.4674163279358,5bae0be1877d69abf9530aee0b889643c969932fa9b06ba04259953c66e28ec0,75.0,80.0,,0.0
8,Wake Forest,Brown & Sencion,1707.6571867839689,124.15455821921871,11,1955.9663032224064,e60070bf2f748d2955efe47d15efde5b533d1e7cd9e32ad03849972138a2fd63,100.0,60.0,100.0,0.0
9,Michigan State,Lewis & Martin,1650.217171625343,129.6294694247904,10,1909.4761104749239,b308254c8fe3acd3f51299f70e02cb27abb2f6e598b080b1709da0da7b98f6d6,100.0,50.0,,50.0
10,UTD,Dickey & Hale,1603.2700404487136,127.19706381602224,10,1857.6641680807581,387c36971e4d7e4ad1d4ce41c316773a0c75a1faba1c5b5c3e6552b8f63c28ef,100.0,40.0,100.0,0.0
