Aff,Neg,Judges,Votes,Win
Kentucky SR,Emory GY,Temitope Ogundare Tessa Harper Tajaih Robinson,Neg Neg Neg,3-0 NEG
Dartmouth JT,Michigan ES,Lorilei Lassen arielle gearring Adam Lipton,Neg Neg Neg,3-0 NEG
Harvard DS,Emory SY,Rafael Pierry Jacob Wilkus Anish Bhadani,Neg Neg Neg,3-0 NEG
Wake Forest BS,Northwestern JP,Tyler Snelling Gabby Knight Ryan Cavanaugh,Aff Aff Neg,2-1 AFF
George Mason WW,Michigan CS,Riley Reichel Viveth Karthikeyan Brett Bricker,Neg Neg Aff,2-1 NEG
Kansas SS,Michigan State JS,Joseph-Charles D'Antuono Corey Fisher Tripp Rebrovick,Aff Aff Neg,2-1 AFF
Western Kentucky NI,Liberty CL - ONLINE,Devane Murphy Hunter McCullough Kumail Zaidi,Neg Aff Aff,2-1 AFF
Northwestern LT,Dartmouth RU,Jimin Park Joanna Gusis Graham Revare,Aff Aff Aff,3-0 AFF
Iowa PK,Wake Forest LP,Deven Cooper Irshad Reza Husain Alex McVey,Aff Aff Neg,2-1 AFF
UTD DH,Dartmouth CG,Kwudjwa Osei Tony Miklovis Kevin Hirn,Neg Aff Aff,2-1 AFF
Kansas FB,UC Berkeley BM,Young Kwon Adam White Tim Freehan,Neg Neg Neg,3-0 NEG
Iowa EW,Harvard HL,Curtis Ortega Rahul Penumetcha Rose Larson,Aff Aff Neg,2-1 AFF
Macalester KS,CSU Long Beach EM,Ari Davidson Christopher Callahan Azja Butler,Aff Aff Neg,2-1 AFF
Northwestern LP,Michigan State LM,Jack Hightower Zahir Shaikh Gabriel Morbeck,Aff Neg Neg,2-1 NEG
