Aff,Neg,Judges,Votes,Win
Clear Lake RZ,Lake Highland Prep AD,Aaron Kuang Em Jackson Nigel Taylor-Ward,Aff Aff Aff,3-0 AFF
Lake Highland Prep AW,Clear Lake CW,Wyatt Hatfield Niko Battle Alexander Yoakum,Neg Aff Neg,2-1 NEG
St Thomas CO,Strake Jesuit KS,Pranav Sreenivas Truman Le Alexander Yoakum,Aff Aff Aff,3-0 AFF
Lake Highland Prep NA,Rock Hill TI,Ryan Graham Nate Watkins Niko Battle,Aff Neg Neg,2-1 NEG
Plano West ZM,Strake Jesuit LC,Avery Wilson Bernardo Medeiros Rowan MacLean,Aff Neg Neg,2-1 NEG
Strake Jesuit MZ,Southlake Carroll AB,Ryan Graham Ishan Rereddy Sumya Paruchuri,Neg Neg Neg,3-0 NEG
Harker RG,Southlake Carroll AT,Isaac Chao Aaron Kuang Bernardo Medeiros,Neg Neg Aff,2-1 NEG
Memorial BL,Flower Mound KK,Feifan Liu Ishan Rereddy Johnathen Standifer,Aff Aff Aff,3-0 AFF
Greenhill EX,Strake Jesuit AY,Bodhi Rosen Isaac Chao Alice Waters,Aff Aff Aff,3-0 AFF
Strake Jesuit SA,Harker JS,Avery Wilson Truman Le Nate Watkins,Neg Neg Neg,3-0 NEG
Southlake Carroll TB,McNeil JL,Bodhi Rosen Rowan MacLean Austin Broussard,Neg Neg Aff,2-1 NEG
Plano West SG,Greenhill VT,Chris Castillo David Kilpatrick William Walker,Aff Aff Neg,2-1 AFF
Greenhill AN,Harker ID,Erick Berdugo Em Jackson Nigel Taylor-Ward,Aff Neg Aff,2-1 AFF
Durham GW,Southlake Carroll IM,Pranav Sreenivas Chris Castillo Alice Waters,Aff Aff Aff,3-0 AFF
Princeton JZ,Little Rock Central GT,Elizabeth Elliott David Kilpatrick William Walker,Neg Neg Neg,3-0 NEG
Vestavia Hills VZ,Tom Glenn JM,Grady Morris Sreethan Karna Austin Broussard,Aff Aff Aff,3-0 AFF
