Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Marlborough LS,Grapevine IH,Mark Kivimaki,Aff,29.7,28.3
Peninsula SP,Harvard-Westlake KM,Chris Theis,Neg,28.5,29.6
Holy Trinity Episcopal CH,Plano West SG,Claudia Ribera,Neg,25.0,30.0
Cupertino AS,Harker SD,Jacob Nails,Neg,29.0,29.4
Newark Science EH,Harker LC,Elizabeth Elliott,Neg,28.5,30.0
Clear Lake RZ,Harker ID,Aaron Kuang,Aff,29.6,28.9
Edgemont AP,Brophy VW,Rob Sosa,Neg,28.8,28.9
Mountain View AW,Park City MS,David Kilpatrick,Aff,29.1,29.0
Boerne Champion CW,Harker RG,Chris Castillo,Neg,29.0,29.3
Gunn SP,Lynbrook VK,Ava Wegmann-Gatarz,Aff,28.9,28.8
BASIS Silicon Valley JK,Isidore Newman DC,storm lasseter,Neg,28.8,29.5
Greenhill SS,Wheatley AM,Adam Lipton,Aff,28.5,28.4
Westlake MH,Strath Haven MC,aidan etkin,Aff,28.7,28.5
Strake Jesuit  EX,Lake Travis BK,William Walker,Aff,29.1,28.4
Meadows CP,Marlborough AK,Scott Phillips,Neg,28.7,29.0
Coppell VD,Plano West ZM,Brice Ezell,Neg,28.4,28.8
Memorial EJ,Lynbrook ST,Alice Waters,Aff,29.4,29.0
St John's WG,Greenhill OG,Mark Kivimaki,Aff,29.1,28.9
Southlake Carroll AT,Marlborough RB,Dylan Millimet,Neg,29.2,29.4
Strake Jesuit  JW,Immaculate Heart OA,Coralynn Yang,Aff,29.3,29.2
Strake Jesuit  KS,Immaculate Heart AE,Om Modi,Neg,29.1,29.2
Irma Rangel YWLS DR,Lovett RS,Jack Hasper,Neg,28.2,28.8
Harrison AG,Brearley IM,angel ribo,Aff,28.7,28.7
Strake Jesuit  SA,Immaculate Heart CM,Mariska Khalikov,Aff,28.8,28.7
Greenhill EX,Southlake Carroll IM,Isaac Hoch,Neg,29.1,29.6
Marlborough CS,Stratford RR,David Kilpatrick,Aff,29.0,28.6
Lynbrook JR,Meadows TB,Scott Phillips,Neg,29.1,29.3
Newark Science SR,West Des Moines Valley DN,Aurelia Williams,Aff,29.1,29.0
Memorial AW,Marlborough EF,Nick Loew,Aff,29.3,29.0
Horace Greeley CC,St Thomas CO,Truman Le,Neg,28.8,29.3
Strake Jesuit  AY,Immaculate Heart CJ,Nick Loew,Aff,29.2,29.1
Strake Jesuit  MZ,Cypress Ranch ML,angel ribo,Aff,29.1,28.6
BASIS Silicon Valley VP,Strath Haven NS,Shubh Doshi,Aff,29.8,29.7
Harker JC,All Saints Episcopal School - Tyler ID,aidan etkin,Neg,28.7,28.8
John Cooper TX,Lynbrook AS,Aaron Kuang,Neg,28.8,29.2
Flintridge Prep CX,Brearley IL,Azja Butler,Aff,29.0,29.0
Coppell MM,Marlborough EP,Chris Castillo,Neg,29.0,29.1
Marlborough DK,Harrison FW,Elizabeth Elliott,Neg,29.0,29.2
Little Rock Central GT,Harrison SE,Amanda Ciocca,Aff,29.4,29.2
Harker NB,Peninsula GH,Chris Theis,Aff,29.1,29.0
John Cooper RR,Cary Acad TB,Claudia Ribera,Neg,28.9,29.0
Isidore Newman BD,Harvard-Westlake AS,Nigel Taylor-Ward,Neg,29.0,29.8
Lake Travis AS,Louis D. Brandeis SR,Ava Wegmann-Gatarz,Neg,28.6,28.9
West Des Moines Valley JC,Brophy AP,Vikrant Vadathavoor,Neg,28.9,29.0
Clear Lake CW,Harker SS,Truman Le,Neg,28.7,29.4
Isidore Newman MM,Canyon Crest CD,Mariska Khalikov,Aff,29.1,28.9
