Aff,Neg,Judges,Votes,Win
Harvard-Westlake KM,Greenhill OG,"Chetan Hertzig																																						Adam Lipton																																						Nigel Taylor-Ward","Aff																															Aff																															Aff","3-0																															AFF"
Flintridge Prep CX,Greenhill EX,"Emanuel Vargas																																						Leo Crowley																																						Nick Loew","Neg																															Neg																															Neg","3-0																															NEG"
Little Rock Central GT,Strake Jesuit  MZ,"Elizabeth Elliott																																						Emmanuel Makinde																																						Curtis Ortega","Aff																															Aff																															Aff","3-0																															AFF"
Gunn SP,Harvard-Westlake AS,"Adam Torson																																						Gordon Krauss																																						Tim Alderete","Neg																															Neg																															Neg","3-0																															NEG"
Isidore Newman DC,Strake Jesuit  KS,"Ashley Lourenco																																						William Walker																																						Shubh Doshi","Aff																															Aff																															Aff","3-0																															AFF"
BASIS Silicon Valley VP,Memorial AW,"Demarcus Powell																																						Em Jackson																																						Rob Sosa","Neg																															Aff																															Neg","2-1																															NEG"
Harker NB,Southlake Carroll IM,"Ronen Bowman																																						Dylan Millimet																																						Aaron Kuang","Aff																															Aff																															Aff","3-0																															AFF"
St Thomas CO,Mountain View AW,"Siyona Khera																																						David Kilpatrick																																						Aadi Patil","Aff																															Neg																															Aff","2-1																															AFF"
Horace Greeley CC,Harker SD,"Mariska Khalikov																																						Surya Dasari																																						Truman Le","Neg																															Neg																															Neg","3-0																															NEG"
BASIS Silicon Valley JK,Harker LC,"Holden Bukowsky																																						Ishan Rereddy																																						Coralynn Yang","Neg																															Neg																															Neg","3-0																															NEG"
Brophy VW,Marlborough LS,"Greg Achten																																						Ryan Graham																																						Scott Phillips","Neg																															Neg																															Neg","3-0																															NEG"
Harker SS,Plano West ZM,"Sreethan Karna																																						Jacob Nails																																						Mark Kivimaki","Aff																															Aff																															Aff","3-0																															AFF"
Plano West SG,Harrison SE,"Claudia Ribera																																						Austin Broussard																																						David Asafu-Adjaye","Aff																															Aff																															Aff","3-0																															AFF"
Brearley IL,Harrison FW,"Temitope Ogundare																																						Amanda Ciocca																																						angel ribo","Neg																															Neg																															Neg","3-0																															NEG"
Lynbrook AS,Clear Lake RZ,"Alice Waters																																						Grady Morris																																						Ava Wegmann-Gatarz","Neg																															Aff																															Neg","2-1																															NEG"
Harker RG,Memorial EJ,"David Dosch																																						Chris Theis																																						Isaac Hoch","Neg																															Aff																															Neg","2-1																															NEG"
