Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Dougherty Valley Independent SL,BASIS Silicon Valley VP,Sam Catapang,Neg,29.1,29.4
Peninsula GH,Dougherty Valley Independent MJ,Joseph Barquin,Aff,28.9,28.8
Marlborough ML,Dougherty Valley Independent NM,Nate Watkins,Neg,29.0,29.1
Immaculate Heart AE,Marlborough SS,Nilesh Mudupalli,Neg,28.7,29.0
Marlborough AK,Hill SM,Norma Delgado,Neg,29.3,29.7
Marlborough SC,Harvard-Westlake AS,Alliana Sherie Huerto,Neg,28.7,29.0
Harvard-Westlake KM,Marlborough LS,Mark Martinez,Neg,28.9,29.2
Marlborough EF,OC Policy Association NC,Emmelyne Lay,Aff,29.4,29.3
Peninsula NK,St Thomas CO,Winston Chou,Neg,27.6,29.8
Peninsula EE,Memorial EJ,Isaiah Salgado,Neg,28.3,28.8
Marlborough SW,Harvard-Westlake JL,Obinna Nworgu,Aff,27.6,27.5
Harvard-Westlake JW,Marlborough JSn,Vishwa Charabuddi,Aff,29.3,28.5
Marlborough CI,Sacred Heart Atherton DM,Mark Martinez,Neg,28.1,28.3
St John's WG,Geffen Academy of UCLA JP,Norma Delgado,Aff,29.3,28.7
Marlborough GC,Immaculate Heart CD,Brian Son,Aff,28.7,27.1
Marlborough SR,Lynbrook VK,Nate Watkins,Neg,29.2,29.3
Horace Greeley CC,Marlborough EP,Nilesh Mudupalli,Aff,29.3,29.0
Riverside Independent PK,BASIS Silicon Valley JK,Joseph Barquin,Neg,28.9,29.4
Immaculate Heart CM,Marlborough ST,Michael Harris,Aff,29.0,28.5
Harvard-Westlake AR,Marlborough MF,Alliana Sherie Huerto,Neg,28.6,28.8
Marlborough EL,Immaculate Heart ML,Ethan Yang,Neg,28.4,28.6
Immaculate Heart AM,San Marino CJ,Jonathan Meza,Neg,27.9,28.1
Lynbrook JR,Harvard-Westlake SL,David Martinez,Aff,29.2,28.7
Peninsula JT,Canyon Crest JY,Winston Chou,Neg,28.5,28.3
Harvard-Westlake HP,Peninsula IA,Tim Alderete,Aff,27.9,27.5
Immaculate Heart JD,Peninsula JE,Luis Artiz,Neg,28.5,28.8
Immaculate Heart AP,Portola JL,Vontrez White,Neg,29.0,29.1
San Marino EC,Edgemont AP,Krizel Guansing,Aff,28.9,28.7
Immaculate Heart BB,Marlborough RB,Michael Harris,Neg,28.2,29.4
Crespi Carmelite RN,Marlborough EB,Ivy Zhou,Neg,28.5,29.0
Peninsula SP,Marlborough AL,Anirv Ayyala,Aff,29.1,28.8
Lynbrook ST,Harvard-Westlake TK,Joseph Hong,Aff,28.7,27.9
Dougherty Valley Independent PN,Sage Hill IH,Dorian Gurrola,Aff,29.8,29.7
Marlborough SSh,St John's DH,Anirv Ayyala,Neg,28.4,28.6
Flintridge Prep ED,OCSA IL,Joseph Hong,Neg,27.6,28.8
Westridge KD,Gunn SP,Jonathan Meza,Neg,28.1,28.4
Meadows CP,Harrison SE,Isaac Love,Neg,27.9,28.0
Immaculate Heart OA,Webb LS,Matt Conrad,Aff,28.7,28.5
Canyon Crest CD,Carlsbad AP,Lloana Joj,Aff,28.4,27.5
Phillips Exeter Independent JM,Lynbrook SV,Aanya Ujjval,Aff,29.4,28.9
Marlborough CS,Harvard-Westlake EO,Tim Alderete,Aff,28.7,27.9
Pinewood CA,Immaculate Heart MY,Jim Park,Aff,28.4,28.1
Westridge YW,Homestead Independent NK,Amy Lopez,Aff,28.5,28.4
Marlborough CM,Jericho Independent YG,Obinna Nworgu,Aff,27.6,27.5
Colorado Academy Independent HJ,Peninsula GY,Krizel Guansing,Aff,28.7,28.5
New York State Independent AS,Peninsula WJ,Amanda Ciocca,Aff,29.3,28.8
Basis Scottsdale Independent AV,Meadows TB,Andrea Chow,Neg,27.0,28.0
Sunny Hills Independent JK,Immaculate Heart CO,Vontrez White,Aff,29.3,29.1
Lynbrook SY,Mountain View CS,Isaac Love,Neg,28.5,28.6
Carlsbad GT,Immaculate Heart CJ,Emerson Tobias,Aff,28.9,28.8
Harvard-Westlake EY,Lynbrook AS,David Martinez,Aff,29.4,29.3
Riverside Independent SH,Flintridge Prep CX,Sam Catapang,Aff,29.6,29.1
Marlborough CSa,Highlands MT,Ivy Zhou,Aff,30.0,28.0
Gunn IT,Peninsula AU,Amanda Ciocca,Neg,28.1,29.3
Immaculate Heart VM,Lynbrook RS,Luis Artiz,Neg,28.7,29.3
Marlborough SK,Harvard-Westlake DK,Vishwa Charabuddi,Neg,28.7,28.8
Marlborough NW,Immaculate Heart SH,Ethan Yang,Neg,28.7,28.9
Marlborough JW,Crespi Carmelite MN,Emmelyne Lay,Aff,28.9,28.8
Harvard-Westlake OF,Marlborough KR,Yardley Rosas,Aff,28.8,28.6
Dougherty Valley Independent SV,Memorial ES,Ethan Park,Aff,28.1,27.5
Harvard-Westlake EC,Marlborough JK,Brian Son,Neg,28.5,28.6
Mountain View AW,Cupertino AS,Maggie Woodward,Aff,28.9,28.5
