Aff,Neg,Judges,Votes,Win
Riverside Independent PK,Lynbrook VK,"Joseph Hong																																						Sam Catapang																																						David Martinez","Neg																															Neg																															Neg","3-0																															NEG"
Harvard-Westlake OF,Harrison SE,"Nilesh Mudupalli																																						Vishwa Charabuddi																																						Nicoleta Enciu","Neg																															Neg																															Neg","3-0																															NEG"
Lynbrook AS,Dougherty Valley Independent NM,"Amanda Ciocca																																						Isaac Love																																						Nate Watkins","Aff																															Aff																															Aff","3-0																															AFF"
Marlborough EP,Phillips Exeter Independent JM,"Norma Delgado																																						Ethan Park																																						Tomas Gonzalez","Neg																															Neg																															Neg","3-0																															NEG"
Immaculate Heart OA,Harvard-Westlake AS,"Ethan Yang																																						Brian Son																																						AJ Lozano","Neg																															Neg																															Neg","3-0																															NEG"
Lynbrook ST,Meadows TB,"Jim Park																																						Maggie Woodward																																						Joseph Barquin","Neg																															Aff																															Aff","2-1																															AFF"
BASIS Chandler WI,Peninsula SP,"Sabeeh Mirza																																						Sarah Martin																																						Isaiah Salgado","Neg																															Neg																															Aff","2-1																															NEG"
Harvard-Westlake EY,St Thomas CO,"Jaysyn Green																																						Amadea Datel																																						Winston Chou","Neg																															Aff																															Neg","2-1																															NEG"
Marlborough EF,Hill SM,"Anirv Ayyala																																						Jackson Mills																																						Obinna Nworgu","Neg																															Aff																															Aff","2-1																															AFF"
San Marino EC,Harvard-Westlake JW,"Gordon Krauss																																						Yardley Rosas																																						Alliana Sherie Huerto","Neg																															Neg																															Neg","3-0																															NEG"
Mountain View AW,Peninsula AU,"Tim Alderete																																						Shaina Sanchez																																						Matt Conrad","Aff																															Aff																															Aff","3-0																															AFF"
Portola JL,Dougherty Valley Independent SV,"Luis Artiz																																						Jad Vicente																																						Coralynn Yang","Neg																															Neg																															Neg","3-0																															NEG"
Flintridge Prep CX,Marlborough AK,"Jacob Bosley																																						Emmelyne Lay																																						Dorian Gurrola","Aff																															Aff																															Aff","3-0																															AFF"
Sunny Hills Independent JK,Memorial ES,"Krizel Guansing																																						Amy Lopez																																						Andrea Chow","Neg																															Neg																															Neg","3-0																															NEG"
Immaculate Heart AE,St John's WG,"Jonathan Meza																																						Vontrez White																																						Emerson Tobias","Neg																															Neg																															Neg","3-0																															NEG"
New York State Independent AS,Pinewood CA,"Mishelle Kamyshnikov																																						Chris Paredes																																						Ivy Zhou","Aff																															Aff																															Aff","3-0																															AFF"
