Aff,Neg,Judges,Votes,Win
University AH,Hawken EB,Andrei Nemoianu Xiaorui Hang Jason Paul,Aff Aff Aff,3-0 AFF
Strake Jesuit EX,Milpitas AM,Joseph Barquin Eva Lamberson Benjamin Morbeck,Aff Aff Aff,3-0 AFF
Sunny Hills Independent JK,Phillips Exeter Independent GK,Ethan Chen Aj Lozano Mitchell Akinjayeju,Neg Aff Aff,2-1 AFF
Memorial AD,Huang Independent HH,Drixxon Kyser Denitsa Zvetkova Joshua Mitchell,Neg Neg Aff,2-1 NEG
Archbishop Mitty AG,Mission San Jose SL,Arthur Qin Sherine Liu Alan Fishman,Aff Neg Aff,2-1 AFF
Jericho Unaffiliated LL,Archbishop Mitty YS,Chetan Hertzig Israel Dominguez Chelsea Hodgson,Aff Aff Aff,3-0 AFF
Honor AS,Flintridge Prep CK,Ryan Curran Elizabeth Nicaj Jenny Liu,Neg Neg Aff,2-1 NEG
Mountain Brook SW,American Heritage Palm Beach NI,Rob Sosa Sabrina To Amanda Ciocca,Neg Neg Neg,3-0 NEG
Harker JA,Carlsbad GT,Claire Bloomingdale Nikoo Tahmasebi Nick Smith,Neg Neg Neg,3-0 NEG
Mountain Brook WR,Gunn HS Independent IT,Renee Ding Nikita Tanguturi Isaac Love,Aff Aff Neg,2-1 AFF
Harrison AG,Westridge YW,Pranjal Verma Michael Reichle Nicole Wang,Neg Aff Aff,2-1 AFF
University SS,Cary Acad TB,Sofia Ishal James Jude Bo Zeng,Neg Neg Neg,3-0 NEG
Commonwealth JB,Millard North LT,Lilia Guizatoullina Martin Saenz Nathan Johnston,Aff Neg Neg,2-1 NEG
John Cooper TX,Sharks Independent KZ,Tejas Rajagopalan Jack Booth Nathan Liu,Neg Neg Neg,3-0 NEG
Memorial ES,"Russellville HS - Russellville, AR MM",Briajia Levi Jeffrey He Brooke Earle,Aff Aff Neg,2-1 AFF
Bronx Science AM,Harrison KI,Sai Karavadi Callaway Weeks Albert Cai,Neg Neg Neg,3-0 NEG
