Aff,Neg,Judges,Votes,Win
Bronx Science PA,James Logan SN,Tao Wang Ameya Deshmukh Dean Carman,Neg Neg Neg,3-0 NEG
University AS,New York State Independent CT,Muhammed Habib Mehul Patel Stefan Sortland,Aff Aff Aff,3-0 AFF
Ridgewood Independent ZY,Iowa City West EA,Ashmita Chauhan Terry Lawrence Justin Wang,Aff Neg Neg,2-1 NEG
Lexington KG,Fairmont Prep TN,Kate Canes Anna Marasco Quibrera Ayanna Nayar,Aff Neg Neg,2-1 NEG
Acton-Boxborough MJ,Bergen RZ,Gabe Rusk Parimala Agnihotri Riki Balu,Neg Neg Neg,3-0 NEG
VDA - Vancouver TZ,St Mary's Hall JM,Urmil Patel Shreya Saravanan Jay Wang,Aff Neg Aff,2-1 AFF
Livingston GL,Cranbrook FZ,Padmavathi Krishnamurthy Matt Enlow Ara Mehran,Aff Aff Aff,3-0 AFF
Fairmont Prep LS,Lexington ZS,Abby McDonald Allonzo Murríel Perez Aarav Jamdar,Aff Aff Aff,3-0 AFF
Dougherty Valley RJ,McLean LG,Jeanne Jiang Darren Tremblay Edward Jiang,Neg Neg Neg,3-0 NEG
Oxbridge VB,Mustang SG,Amy Yuan Shriraghav Ashok Farhan Sodiq,Aff Neg Neg,2-1 NEG
Fairmont Prep PP,Richard Montgomery YM,Rabikant Thakur Jing Cai Jashyth Lohani,Aff Aff Aff,3-0 AFF
Cranbrook YR,Palm Harbor ML,Annalisa Keuler Suzie Hahn Zachary Heintz,Neg Neg Neg,3-0 NEG
Cary Acad CS,Colorado IM,Kiran Siddabasavaiah Vinita Vora Dessie Yang,Neg Neg Aff,2-1 NEG
Brentwood MW,College Prep FS,Vivaan Beri Sujata Patil Deepti Vattipulusu,Neg Aff Neg,2-1 NEG
NS Independent SZ,Flintridge Prep LR,William Lowe Yakub Islamov Dylan McEntyre,Aff Aff Aff,3-0 AFF
