Aff,Neg,Judges,Votes,Win
Lexington PR,Emerald KG,Charlie Synn Razeen Nasar Jeanie Cherng,Aff Neg Neg,2-1 NEG
University CC,Acton-Boxborough WP,Abby McDonald Srimanta Pradhan Ayanna Nayar,Aff Neg Aff,2-1 AFF
Bergen LC,Lincoln-Sudbury CA,Jing Cai Annalisa Keuler Reagan Williams,Neg Neg Neg,3-0 NEG
Hunter CD,McLean CL,Adam Wang Anna Marasco Quibrera Erela Datuowei,Neg Aff Aff,2-1 AFF
Taipei American CC,Dougherty Valley BT,Stephanie Borunda Jing Yang Wei Feng,Neg Neg Neg,3-0 NEG
Acton-Boxborough EK,Bergen YL,Dawn Paciotti Oluwatobi Oyewumi Aryan Sethi,Aff Aff Aff,3-0 AFF
Walton HS Independent KL,Taipei American LeLe,Arthur Harris Maeve Goldman Michelle Davidowitz,Aff Aff Aff,3-0 AFF
Potomac AL,Livingston BR,Aanya Ghosh Wayne Lu Eric Whitaker,Neg Aff Aff,2-1 AFF
Dougherty Valley KK,Fairmont Prep JK,Kate Canes Vineetha Gambhir Nitin Mathur,Neg Aff Neg,2-1 NEG
Jellyfish Independent LW,Fairmont Prep SP,Leo Hao Vina Hung Parul Agrawal,Neg Neg Aff,2-1 NEG
Miramonte CC,Summit AH,Cruz Castillo Georgia Liu Fredrick Ni,Aff Neg Aff,2-1 AFF
James Logan SN,Newton North ZA,Emma Golden Terry Lawrence Jashyth Lohani,Aff Neg Aff,2-1 AFF
University AS,College Prep BD,Joseph Alonso Riki Balu Sydney Wilson,Neg Neg Aff,2-1 NEG
Millburn SK,Iowa City West EA,Gabe Rusk Amit Kulkarni Isabella Martin,Aff Aff Aff,3-0 AFF
BASIS Peoria KC,Fairmont Prep TN,Hyuna Kim Bastian Wibowo Adam Stano,Aff Aff Aff,3-0 AFF
Bergen RZ,Horace Mann SM,Ashmita Chauhan Geeta Yadav Elva Cho,Aff Aff Aff,3-0 AFF
VDA - Vancouver TZ,National Debate Club (NDC) PH,William Lowe Aung Naing Lydia Magalhaes,Neg Neg Neg,3-0 NEG
Stratford WW,Livingston GL,Rutvij Sharma John Glass Deanna Ma,Neg Aff Aff,2-1 AFF
Fairmont Prep LS,Potomac MS,Liya Khan Pamela Harrington Yuling Wang,Aff Aff Aff,3-0 AFF
Awty Honors Independent BX,McLean LG,Yinyin Wright Brian Manuel Kelly Hager,Aff Aff Aff,3-0 AFF
Ridge LO,Mustang SG,Chaithanya Narina Anas Baker Samantha Gerber,Neg Aff Aff,2-1 AFF
Fairmont Prep PP,Delbarton CD,Yakub Islamov Dylan McEntyre Shreya Saravanan,Aff Aff Aff,3-0 AFF
Palm Harbor ML,Thomas Wootton Independent PL,Preethi Jaganmohan Anjali Agarwal Theo Kurland,Neg Aff Aff,2-1 AFF
Jellyfish Independent YF,Colorado IM,Austin Kelachukwu Julio Manso Amy Lau,Neg Neg Neg,3-0 NEG
Theodore Roosevelt HB,College Prep FS,Anne Rucker Shriraghav Ashok Ara Mehran,Neg Neg Neg,3-0 NEG
Legacy Prep VZ,NS Independent SZ,Gia Patel Andrew Fostiropoulos Sachin Letchumanan,Neg Neg Neg,3-0 NEG
Archbishop Mitty KC,Paul Laurence Dunbar VM,Sherry Huang Nirmala Kummathi Kai Brady,Aff Aff Neg,2-1 AFF
McLean KR,Mission San Jose BP,Padmavathi Krishnamurthy Parimala Agnihotri Amy Yuan,Neg Aff Neg,2-1 NEG
NS Independent CK,Robinson BV,Rabikant Thakur Helene Lam Justin Wang,Aff Neg Aff,2-1 AFF
Lincoln-Sudbury KS,Archbishop Mitty NV,Muhammed Habib Henry Anastasi-Scott Jaya Sahani,Neg Aff Neg,2-1 NEG
Pittsburgh Central Catholic DN,McLean TL,Sundeep Deorah Cindy Di Jordan Berry,Aff Aff Aff,3-0 AFF
