Aff,Neg,Judges,Votes,Win
Emerald KG,Pittsburgh Central Catholic DN,Sangeeta Prasad Abhilash Datti Riki Balu,Aff Aff Aff,3-0 AFF
Archbishop Mitty NV,University CC,Aanya Ghosh Shriraghav Ashok Farhan Sodiq,Neg Neg Neg,3-0 NEG
NS Independent CK,Lincoln-Sudbury CA,Aung Naing Lydia Magalhaes Xudong Zheng,Neg Neg Neg,3-0 NEG
Hunter CD,Milpitas XP,Dylan McEntyre Jeanie Cherng Liya Khan,Neg Neg Neg,3-0 NEG
Dougherty Valley BT,Mission San Jose BP,Gabe Rusk Jashyth Lohani Ara Mehran,Aff Aff Aff,3-0 AFF
Archbishop Mitty KC,Acton-Boxborough EK,Gia Patel Imaya Kumar Jagannathan Sachin Letchumanan,Neg Neg Neg,3-0 NEG
Walton HS Independent KL,NS Independent SZ,Parimala Agnihotri Anna Marasco Quibrera Ayanna Nayar,Neg Aff Aff,2-1 AFF
Potomac AL,College Prep FS,Karissa Kromminga Aryan Sethi Deepti Sachdev,Neg Neg Neg,3-0 NEG
Fairmont Prep JK,Colorado IM,Ohm Anandam Padmavathi Krishnamurthy Justin Wang,Aff Aff Aff,3-0 AFF
Palm Harbor ML,Fairmont Prep SP,Chaithanya Narina Maeve Goldman Wayne Lu,Aff Neg Neg,2-1 NEG
Fairmont Prep PP,Miramonte CC,Stephanie Borunda Geeta Yadav Terry Lawrence,Aff Neg Neg,2-1 NEG
James Logan SN,Ridge LO,Ameya Deshmukh Stefan Sortland Reagan Williams,Aff Aff Aff,3-0 AFF
College Prep BD,Awty Honors Independent BX,William Lowe Henry Anastasi-Scott Emma Schaible,Aff Neg Aff,2-1 AFF
Fairmont Prep LS,Millburn SK,Theo Kurland Leo Hao Vina Hung,Aff Aff Aff,3-0 AFF
BASIS Peoria KC,Stratford WW,Dawn Paciotti Yakub Islamov Pamela Harrington,Aff Aff Aff,3-0 AFF
Bergen RZ,National Debate Club (NDC) PH,Srimanta Pradhan Vineetha Gambhir Nitin Mathur,Neg Aff Aff,2-1 AFF
